id,source_id,sector,sub_sector,consumer_name,consumption_mcm,record_year,record_date,season
154,33,Domestic    ,Tourism           ,Shikara Operators     ,2.0,2025,2025-07-15  ,Monsoon      
155,33,Domestic    ,Urban Supply      ,Srinagar Municipal    ,45.0,2025,2025-05-20  ,Summer       
156,33,Agriculture ,Vegetables        ,Floating Gardens      ,8.0,2025,2025-08-05  ,Monsoon      
157,31,Agriculture ,Aquaculture       ,Fishermen Cooperative ,25.0,2025,2025-01-10  ,Winter       
158,31,Agriculture ,Prawn Farming     ,Prawn Farmers         ,18.0,2025,2025-07-20  ,Monsoon      
159,31,Domestic    ,Tourism           ,Tour Operators        ,3.0,2025,2025-10-05  ,Post-Monsoon 
160,31,Domestic    ,Rural Supply      ,Coastal Villages      ,12.0,2025,2025-04-15  ,Summer       
161,32,Agriculture ,Backwater Fishing ,Fishermen             ,15.0,2025,2025-01-20  ,Winter       
162,32,Domestic    ,Tourism           ,Houseboat Operators   ,8.0,2025,2025-08-12  ,Monsoon      
163,32,Agriculture ,Coconut Farming   ,Coconut Farmers       ,10.0,2025,2025-05-25  ,Summer       
164,32,Domestic    ,Rural Supply      ,Kuttanad Villages     ,20.0,2025,2025-09-18  ,Post-Monsoon 
165,1,Agriculture ,Rice Paddy        ,Farmer Cooperative    ,440.0,2024,2024-06-12  ,Summer       
166,1,Industrial  ,Textiles          ,Textile Park          ,110.0,2024,2024-05-18  ,Summer       
167,11,Agriculture ,Wheat             ,Punjab Farmers        ,820.0,2024,2024-03-10  ,Winter       
168,11,Industrial  ,Power Generation  ,BBMB                  ,430.0,2024,2024-01-15  ,Winter       
169,13,Agriculture ,Cotton            ,Gujarat Farmers       ,890.0,2024,2024-07-08  ,Monsoon      
170,13,Domestic    ,Urban Supply      ,Ahmedabad Municipal   ,240.0,2024,2024-05-20  ,Summer       
171,16,Industrial  ,Power Generation  ,THDC India            ,310.0,2024,2024-02-12  ,Winter       
172,17,Agriculture ,Rice Paddy        ,Odisha Farmers        ,560.0,2024,2024-07-20  ,Monsoon      
173,18,Agriculture ,Rice Paddy        ,Telangana Farmers     ,600.0,2024,2024-07-15  ,Monsoon      
174,20,Industrial  ,Power Generation  ,Maharashtra Genco     ,400.0,2024,2024-01-18  ,Winter       
