station_id,station_name,state_name,district_name,latitude,longitude,ph_level,dissolved_oxygen_mg_l,turbidity_ntu,status
39,Tungabhadra - Kurnool     ,Andhra Pradesh    ,Kurnool          ,15.82,78.03,7.9,5.2,18.3,Active      
40,Kaveri - Trichy           ,Tamil Nadu        ,Tiruchirappalli  ,10.81,78.69,7.3,6.5,8.7,Active      
41,Periyar - Kochi           ,Kerala            ,Ernakulam        ,9.93,76.26,7.2,7.5,4.2,Active      
42,Vaigai - Madurai          ,Tamil Nadu        ,Madurai          ,9.92,78.12,7.6,5.9,12.8,Active      
43,Sabarmati - Ahmedabad     ,Gujarat           ,Ahmedabad        ,23.02,72.57,8.9,3.1,32.5,Active      
44,Mithi - Mumbai            ,Maharashtra       ,Mumbai           ,19.07,72.87,6.8,1.2,85.0,Maintenance 
45,Tapi - Surat              ,Gujarat           ,Surat            ,21.17,72.83,7.3,4.8,22.1,Active      
46,Narmada - Jabalpur        ,Madhya Pradesh    ,Jabalpur         ,23.18,79.98,7.5,8.0,5.1,Active      
47,Chambal - Kota            ,Rajasthan         ,Kota             ,25.21,75.86,7.0,7.2,8.5,Active      
48,Godavari - Nashik         ,Maharashtra       ,Nashik           ,20.01,73.78,7.4,6.3,14.2,Active      
49,Krishna - Sangli          ,Maharashtra       ,Sangli           ,16.86,74.58,7.6,5.7,16.8,Active      
50,Brahmaputra - Dibrugarh   ,Assam             ,Dibrugarh        ,27.47,94.91,7.4,8.2,18.5,Active      
51,Hooghly - Kolkata         ,West Bengal       ,Kolkata          ,22.57,88.36,7.9,5.2,28.6,Active      
52,Mahanadi - Cuttack        ,Odisha            ,Cuttack          ,20.46,85.87,7.7,6.5,14.2,Active      
53,Damodar - Dhanbad         ,Jharkhand         ,Dhanbad          ,23.79,86.43,6.2,4.5,38.2,Active      
54,Subarnarekha - Jamshedpur ,Jharkhand         ,East Singhbhum   ,22.78,86.2,7.1,5.8,21.4,Active      
55,Brahmaputra - Guwahati    ,Assam             ,Kamrup           ,26.18,91.75,7.3,7.4,15.6,Active      
56,Barak - Silchar           ,Assam             ,Cachar           ,24.82,92.8,7.2,6.9,12.3,Active      
57,Betwa - Vidisha           ,Madhya Pradesh    ,Vidisha          ,23.52,77.81,7.8,6.2,12.1,Active      
58,Son - Sidhi               ,Madhya Pradesh    ,Sidhi            ,24.4,81.88,7.4,6.7,9.8,Active      
59,Mahanadi - Raipur         ,Chhattisgarh      ,Raipur           ,21.25,81.63,7.5,6.1,16.2,Active      
60,Indravati - Jagdalpur     ,Chhattisgarh      ,Bastar           ,19.08,82.03,7.6,7.2,8.9,Active      
